"PLAN STUDIÓW",,,,,,,,,,,,,
"OBOWIĄZUJE OD ROKU AKADEMICKIEGO: 2022/2023 - zimowy",,,,,,,,,,,,,
WYDZIAŁ:,,,"Wydział Elektroniki, Telekomunikacji i Informatyki",,,,,,,,,,
KIERUNEK:,,,Informatyka,,,,,,,,,,
"poziom kształcenia:",,,"I stopnia - inżynierskie",,,,,,,,,,
profil:,,,ogólnoakademicki,,,,,,,,,,
"forma studiów:",,,stacjonarne,,,,,,,,,,
Lp.,O/F,"kod modułu/ przedmiotu*","nazwa zajęć","efekty kształcenia","grupa zajęć**",SEMESTR,,,,,,,
,,,,,,"forma zaliczenia","liczba godzin",,,,,,"liczba punktów ECTS"
,,,,,,,w,ć,l,p,s,razem,
"SEMESTR 1",,,,,,,,,,,,,
"1 Informatyka (Kierunek)",,,,,,,,,,,,,
1,O,PG_00047641,"Wytwarzanie aplikacji internetowych","K6_W03 K6_U08 K6_W41 K6_U42 K6_U43",A,E,15,0,0,15,0,30,4
2,O,PG_00047357,"Matematyka elementarna","K6_W01 K6_U01","D A",E,30,30,0,0,0,60,6
3,O,PG_00047378,"Hipertekst i hipermedia","K6_U07 K6_W04 K6_U04",A,Z,15,0,6,20,0,41,3
4,O,PG_00047542,"Analiza matematyczna","K6_W01 K6_U01","D A",E,30,30,0,0,0,60,6
5,O,PG_00047523,"Humanistyka dla inżynierów","K6_W08 K6_K03","C A",Z,30,0,0,0,0,30,3
6,O,PG_00047642,"Podstawy programowania","K6_W05 K6_W04 K6_U04",A,Z,30,0,15,20,0,65,5
7,O,PG_00047356,"Algebra liniowa","K6_W01 K6_U01","D A",Z,15,15,0,0,0,30,3
suma:,,,,,,,165,75,21,55,0,316,30
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"SEMESTR 2",,,,,,,,,,,,,
"1 Informatyka (Kierunek)",,,,,,,,,,,,,
1,O,PG_00047648,"Podstawy elektroniki i metrologii","K6_W05 K6_U02 K6_W06 K6_U05 K6_W42","D A",Z,30,0,30,0,0,60,3
2,O,PG_00047650,"Podstawy fizyki","K6_W02 K6_U02 K6_U05","D A",E,30,15,0,0,0,45,3
3,O,PG_00047533,"Język angielski I","K6_W81 K6_U81 K6_K81 K6_U82 K6_K82",A,Z,0,30,0,0,0,30,2
4,O,PG_00047649,"Systemy operacyjne","K6_W03 K6_W04 K6_U03 K6_W43 K6_U42","D A",E,30,0,30,0,0,60,5
5,O,PG_00047646,"Matematyka dyskretna","K6_W01 K6_U01 K6_K02 K6_W41","D A",Z,30,30,0,0,0,60,4
6,O,PG_00047644,"Programowanie obiektowe","K6_W04 K6_U04 K6_U41","D A",Z,15,0,10,30,0,55,4
7,O,PG_00047652,"Algorytmy i struktury danych","K6_U01 K6_U04 K6_U09 K6_W41 K6_U43","D A",E,30,0,15,15,0,60,5
8,O,PG_00047653,"Układy cyfrowe","K6_W03 K6_W04 K6_U03 K6_U04 K6_W42","D A",Z,15,0,15,15,0,45,4
9,O,PG_M0001643,"WYCHOWANIE FIZYCZNE I","K6_K91 K6_K92",A,Z,0,30,0,0,0,30,0
suma:,,,,,,,180,105,100,60,0,445,30
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"SEMESTR 3",,,,,,,,,,,,,
"1 Informatyka (Kierunek)",,,,,,,,,,,,,
1,O,PG_00047659,"Architektura komputerów","K6_W03 K6_U02 K6_U05","D A",E,30,15,15,0,0,60,6
2,O,PG_00047656,"Język angielski II","K6_W81 K6_U81 K6_K81 K6_U82 K6_K82",A,Z,0,30,0,0,0,30,2
3,O,PG_00047657,"Języki programowania","K6_W05 K6_W04 K6_U03 K6_U41","D A",Z,15,0,0,15,0,30,3
4,O,PG_00047666,"Bazy danych","K6_W03 K6_U07 K6_W04 K6_U06 K6_U42","D A",E,30,0,15,15,0,60,6
5,O,PG_00047658,"Grafika komputerowa","K6_W01 K6_U01 K6_U07 K6_W42 K6_U43","D A",E,30,0,15,0,0,45,4
6,O,PG_00047655,"Multimedia i interfejsy","K6_W04 K6_U04 K6_W42 K6_U41","D A",Z,15,0,15,0,0,30,3
7,O,PG_00047660,"Podstawy analizy algorytmów","K6_W05 K6_U07 K6_W06","D A",Z,15,15,0,0,0,30,3
8,O,PG_00047661,"Fizyka współczesna","K6_W02 K6_U02 K6_U05","D A",Z,15,0,15,0,0,30,3
9,O,PG_M0001644,"WYCHOWANIE FIZYCZNE II","K6_K91 K6_K92",A,Z,0,30,0,0,0,30,0
suma:,,,,,,,150,90,75,30,0,345,30
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"SEMESTR 4",,,,,,,,,,,,,
"1 Informatyka (Kierunek)",,,,,,,,,,,,,
1,O,PG_00047670,"Platformy technologiczne","K6_U01 K6_W04 K6_W07","D A",Z,15,0,30,0,0,45,3
2,O,PG_00047669,"System operacyjny MAC OS X i iOS","K6_W03 K6_W04 K6_U03 K6_U04","D A",Z,15,0,15,0,0,30,2
3,O,PG_00047668,"Sztuczna inteligencja","K6_W05 K6_U06","D A",E,30,0,15,15,0,60,5
4,O,PG_00053947,"Wprowadzenie do cyberbezpieczeństwa","K6_U03 K6_W43","D A",Z,15,0,0,15,0,30,2
5,O,PG_00047665,"Metody numeryczne","K6_W01 K6_U01 K6_U08 K6_U43","D A",Z,15,0,15,15,0,45,3
6,O,PG_00047662,"Przetwarzanie rozproszone","K6_W08 K6_W04 K6_U09","D A",Z,15,0,30,15,0,60,5
7,O,PG_00047671,"Sieci komputerowe","K6_W03 K6_W04","D A",E,30,0,0,0,0,30,3
8,O,PG_00047663,"Język angielski III","K6_W81 K6_U81 K6_K81 K6_U82 K6_K82",A,Z,0,30,0,0,0,30,2
9,O,PG_00047672,"Systemy wbudowane i mikroprocesory","K6_W04 K6_W06 K6_U03 K6_U04 K6_W42","D A",E,15,0,30,0,0,45,4
10,O,PG_00047664,"Metody probabilistyczne w informatyce","K6_W01 K6_U01 K6_U43","D A",Z,30,15,15,0,0,60,4
suma:,,,,,,,180,45,150,60,0,435,33
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"SEMESTR 5",,,,,,,,,,,,,
"1 Informatyka (Kierunek)",,,,,,,,,,,,,
1,O,PG_00053513,"PROJEKT GRUPOWY I","K6_W08 K6_U11 K6_K01 K6_U03 K6_U08","D B",Z,0,0,0,30,0,30,4
2,O,PG_00053894,"Inżynieria oprogramowania","K6_W06 K6_U03 K6_U09 K6_W42 K6_U43","D A",E,30,0,30,0,0,60,4
3,O,PG_00047676,"Język angielski IV","K6_W81 K6_U81 K6_K81 K6_U82 K6_K82",A,E,0,30,0,0,0,30,2
4,O,PG_00047674,"Sieci komputerowe - laboratorium","K6_U06 K6_U09 K6_U42","D A",Z,0,0,15,0,0,15,1
5,O,PG_00047677,"Społeczne aspekty informatyki","K6_U81 K6_W08 K6_U11 K6_K01","C A",E,15,0,0,15,0,30,2
"2 Systemy (Strumień)",,,,,,,,,,,,,
6,F,PG_00047893,"Struktury baz danych","K6_W03 K6_W04","D B",Z,15,0,0,15,0,30,2
7,F,PG_00053910,"Komputerowe systemy sterowania","K6_W03 K6_U07","D B",Z,15,0,30,0,0,45,3
8,F,PG_00047892,"Systemy agentowe","K6_W08 K6_U11 K6_U09","D B",Z,15,0,15,0,0,30,2
9,F,PG_00053911,"Administrowanie systemami komputerowymi","K6_W03 K6_W04","D B",E,30,0,15,15,0,60,5
10,F,PG_00053912,"Oprogramowanie systemowe","K6_W03 K6_U05","D B",Z,30,0,0,15,0,45,3
11,F,PG_00047891,"Konstrukcja kompilatorów","K6_W03 K6_U03","D B",Z,15,0,0,15,0,30,2
suma:,,,,,,,165,30,105,105,0,405,30
"2 Aplikacje (Strumień)",,,,,,,,,,,,,
6,F,PG_00047879,"Biznes elektroniczny","K6_W03 K6_U11 K6_W04","D B",Z,15,0,0,15,0,30,2
7,F,PG_00047880,"Wizualizacja informacji","K6_W03 K6_W04","D B",Z,15,0,0,15,0,30,2
8,F,PG_00053906,"Aplikacje systemów wbudowanych","K6_W04 K6_W06 K6_U04","D B",E,30,0,30,0,0,60,5
9,F,PG_00053908,"Hurtownie danych","K6_W01 K6_W04","D B",Z,15,0,30,0,0,45,3
10,F,PG_00053907,"Architektury usług internetowych","K6_W01 K6_W04 K6_U04 K6_U09","D B",Z,30,0,15,0,0,45,3
11,F,PG_00047876,"Systemy informacji przestrzennej","K6_W03 K6_W04","D B",Z,15,0,15,0,0,30,2
suma:,,,,,,,165,30,135,75,0,405,30
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"SEMESTR 6",,,,,,,,,,,,,
"1 Informatyka (Kierunek)",,,,,,,,,,,,,
1,O,PG_00053514,"PROJEKT GRUPOWY II","K6_W08 K6_U11 K6_K01 K6_U03 K6_U08","D B",Z,0,0,0,30,0,30,2
2,O,PG_00053895,"Zarządzanie bezpieczeństwem sieci","K6_W03 K6_U09 K6_W43 K6_U42","D A",E,15,0,30,0,0,45,3
3,O,PG_00047679,"Realizacja projektu informatycznego","K6_W05 K6_U07 K6_U11 K6_K03 K6_U03","D A",E,15,0,0,15,0,30,3
4,O,PG_00047686,"Zarządzanie firmą informatyczną","K6_W08 K6_K01 K6_U10 K6_W07 K6_U08","C A",Z,15,0,0,15,0,30,2
5,O,PG_00047684,"Projekt dyplomowy inżynierski I","K6_U11 K6_K01 K6_U10 K6_U03 K6_U08","D B",Z,0,0,0,30,0,30,2
6,O,PG_00059191,"Seminarium dyplomowe inżynierskie I","K6_K01 K6_K02 K6_K03 K6_U10 K6_W07","D B",Z,0,0,0,0,15,15,1
"2 Systemy (Strumień)",,,,,,,,,,,,,
7,F,PG_00047895,"Zaawansowane architektury komputerów","K6_W04 K6_U41","D B",Z,15,0,15,0,0,30,2
8,F,PG_00047896,"Lokalne sieci bezprzewodowe","K6_W01 K6_W03 K6_U04","D B",Z,15,0,15,0,0,30,2
9,F,PG_00053913,"Mobilne systemy operacyjne","K6_U01 K6_U02 K6_W07","D B",E,15,0,15,0,0,30,3
10,F,PG_00047897,"Inżynieria systemów programowalnych","K6_W03 K6_W05 K6_W04 K6_U03 K6_W42","D B",Z,15,0,30,0,0,45,4
11,F,PG_00047898,"Systemy telekomunikacyjne","K6_W03 K6_U06","D B",Z,30,0,15,0,0,45,4
12,F,PG_00047899,"Sieci korporacyjne","K6_W03 K6_W04","D B",Z,15,0,0,15,0,30,3
suma:,,,,,,,150,0,120,105,15,390,31
"2 Aplikacje (Strumień)",,,,,,,,,,,,,
7,F,PG_00047886,"Komponentowe systemy rozproszone","K6_W04 K6_U03 K6_U04 K6_W42 K6_U42","D B",Z,15,0,30,0,0,45,4
8,F,PG_00047885,"Eksploracja danych","K6_W03 K6_W04","D B",Z,15,0,15,0,0,30,3
9,F,PG_00047887,"Wirtualne zespoły robocze","K6_W04 K6_U06 K6_W41 K6_U42 K6_U43","D B",Z,15,0,15,0,0,30,2
10,F,PG_00053909,"Jakość oprogramowania","K6_U01 K6_U03","D B",E,15,0,0,15,0,30,3
11,F,PG_00047884,"Bazy wiedzy","K6_W03 K6_W04","D B",Z,15,0,15,0,0,30,2
12,F,PG_00047883,"Bezpieczeństwo systemów komputerowych","K6_W03 K6_W04","D B",Z,30,0,0,15,0,45,4
suma:,,,,,,,150,0,105,120,15,390,31
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"SEMESTR 7",,,,,,,,,,,,,
"1 Informatyka (Kierunek)",,,,,,,,,,,,,
1,O,PG_00048817,"Projekt dyplomowy inżynierski II","K6_U11 K6_K01 K6_U10 K6_U03 K6_U08","D B",Z,0,0,0,60,0,60,13
2,O,PG_00048071,Praktyka,"K6_U11 K6_K01 K6_K02 K6_K03 K6_U08",B,Z,0,0,0,0,0,0,2
"2 Systemy (Strumień)",,,,,,,,,,,,,
"3 Architektura systemów komputerowych (Profil)",,,,,,,,,,,,,
3,O,PG_00047968,"Projektowanie aplikacji internetowych","K6_W04 K6_U09","D B",Z,15,0,0,30,0,45,3
4,O,PG_00047969,"Serwisy internetowe .NET","K6_U01 K6_U02","D B",E,30,0,0,30,0,60,5
5,O,PG_00047971,"Narzędzia i aplikacje JEE","K6_U01 K6_U02","D B",E,30,0,30,0,0,60,5
6,O,PG_00059192,"Seminarium dyplomowe inżynierskie II","K6_K01 K6_K02 K6_K03 K6_U10 K6_W07","D B",Z,0,0,0,0,15,15,2
suma:,,,,,,,75,0,30,120,15,240,30
"3 Inteligentne systemy interaktywne (Profil)",,,,,,,,,,,,,
3,O,PG_00047980,"Projektowanie gier komputerowych","K6_W01 K6_W05 K6_U03 K6_W41 K6_U43","D B",E,15,0,30,0,0,45,4
4,O,PG_00047981,"Przetwarzanie obrazów","K6_W01 K6_U07 K6_U03 K6_W42 K6_U43","D B",E,30,0,30,0,0,60,5
5,O,PG_00047982,"Dokumenty cyfrowe","K6_W05 K6_W04 K6_W41 K6_U42 K6_U43","D B",Z,15,0,0,15,0,30,2
6,O,PG_00047979,"Animacja komputerowa","K6_W05 K6_U07 K6_U03 K6_W41 K6_U43","D B",Z,15,0,15,0,0,30,2
7,O,PG_00059192,"Seminarium dyplomowe inżynierskie II","K6_K01 K6_K02 K6_K03 K6_U10 K6_W07","D B",Z,0,0,0,0,15,15,2
suma:,,,,,,,75,0,75,75,15,240,30
"3 Bazy danych (Profil)",,,,,,,,,,,,,
3,O,PG_00047963,"Zarządzanie systemami baz danych","K6_U06 K6_U09 K6_W41 K6_W43 K6_U42","D B",Z,15,0,30,0,0,45,3
4,O,PG_00047966,"Nierelacyjne bazy danych","K6_U03 K6_W41 K6_W42 K6_U41","D B",E,15,0,30,0,0,45,4
5,O,PG_00047967,"Projektowanie skalowalnych systemów obiektowych","K6_W05 K6_W04 K6_U03 K6_U08 K6_U43","D B",E,15,0,15,15,0,45,4
6,O,PG_00047964,"Aplikacje baz danych","K6_W03 K6_U07 K6_U06 K6_W41 K6_U42","D B",Z,15,0,15,0,0,30,2
7,O,PG_00059192,"Seminarium dyplomowe inżynierskie II","K6_K01 K6_K02 K6_K03 K6_U10 K6_W07","D B",Z,0,0,0,0,15,15,2
suma:,,,,,,,60,0,90,75,15,240,30
"3 Systemy geoinformatyczne (Profil)",,,,,,,,,,,,,
3,O,PG_00047977,"Systemy nawigacji satelitarnej GPS i Galileo","K6_W03 K6_W04 K6_U06 K6_U41 K6_U43","D B",E,30,0,30,0,0,60,5
4,O,PG_00047975,"Trójwymiarowa wizualizacja danych przestrzennych","K6_W01 K6_W04 K6_U03 K6_W42 K6_U43","D B",E,15,0,15,0,0,30,3
5,O,PG_00047973,"Przetwarzanie danych na platformach mobilnych","K6_W03 K6_W04 K6_U03 K6_U08","D B",Z,15,0,15,0,0,30,2
6,O,PG_00047974,"Podstawy kartografii cyfrowej","K6_W03 K6_K02 K6_W04 K6_U05 K6_U41","D B",Z,30,0,15,0,0,45,3
7,O,PG_00059192,"Seminarium dyplomowe inżynierskie II","K6_K01 K6_K02 K6_K03 K6_U10 K6_W07","D B",Z,0,0,0,0,15,15,2
suma:,,,,,,,90,0,75,60,15,240,30
"3 Algorytmy i modelowanie systemów (Profil)",,,,,,,,,,,,,
3,O,PG_00047983,"Realizacja aplikacji internetowych","K6_W03 K6_W04 K6_U03 K6_W42 K6_U41","D B",E,15,0,15,0,0,30,3
4,O,PG_00048014,"Programowanie lokalnych aplikacji","K6_W05 K6_W04 K6_U04 K6_W42 K6_U41","D B",Z,15,0,0,15,0,30,2
5,O,PG_00048004,"Języki programowania na platformie .NET","K6_W03 K6_W05 K6_W04 K6_U04 K6_U41","D B",Z,15,0,15,0,0,30,2
6,O,PG_00048013,"Wybrane problemy algorytmiczne i technologiczne","K6_U07 K6_U10 K6_W06","D B",E,30,0,0,0,15,45,4
7,O,PG_00048008,"Zaawansowane techniki obiektowe","K6_W03 K6_W06 K6_U04 K6_U09 K6_U41","D B",Z,15,0,15,0,0,30,2
8,O,PG_00059192,"Seminarium dyplomowe inżynierskie II","K6_K01 K6_K02 K6_K03 K6_U10 K6_W07","D B",Z,0,0,0,0,15,15,2
suma:,,,,,,,90,0,45,75,30,240,30
