Subject Name | Lecture | Exercises | Lab | Project | Seminar
----------------------------------------------------------------------------
                                         |     15 |         0 |           0 |      15 |         0
                                         |     30 |        30 |           0 |       0 |         0
                                         |     15 |         0 |           6 |      20 |         0
                                         |     30 |        30 |           0 |       0 |         0
                                         |     30 |         0 |           0 |       0 |         0
                                         |     30 |         0 |          15 |      20 |         0
                                         |     15 |        15 |           0 |       0 |         0
                                         |     30 |         0 |          30 |       0 |         0
                                         |     30 |        15 |           0 |       0 |         0
                                         |      0 |        30 |           0 |       0 |         0
                                         |     30 |         0 |          30 |       0 |         0
                                         |     30 |        30 |           0 |       0 |         0
                                         |     15 |         0 |          10 |      30 |         0
                                         |     30 |         0 |          15 |      15 |         0
                                         |     15 |         0 |          15 |      15 |         0
                                         |      0 |        30 |           0 |       0 |         0
                                         |     30 |        15 |          15 |       0 |         0
                                         |      0 |        30 |           0 |       0 |         0
                                         |     15 |         0 |           0 |      15 |         0
                                         |     30 |         0 |          15 |      15 |         0
                                         |     30 |         0 |          15 |       0 |         0
                                         |     15 |         0 |          15 |       0 |         0
                                         |     15 |        15 |           0 |       0 |         0
                                         |     15 |         0 |          15 |       0 |         0
                                         |      0 |        30 |           0 |       0 |         0
                                         |     15 |         0 |          30 |       0 |         0
                                         |     15 |         0 |          15 |       0 |         0
                                         |     30 |         0 |          15 |      15 |         0
                                         |     15 |         0 |           0 |      15 |         0
                                         |     15 |         0 |          15 |      15 |         0
                                         |     15 |         0 |          30 |      15 |         0
                                         |     30 |         0 |           0 |       0 |         0
                                         |      0 |        30 |           0 |       0 |         0
                                         |     15 |         0 |          30 |       0 |         0
                                         |     30 |        15 |          15 |       0 |         0
                                         |      0 |         0 |           0 |      30 |         0
                                         |     30 |         0 |          30 |       0 |         0
                                         |      0 |        30 |           0 |       0 |         0
                                         |      0 |         0 |          15 |       0 |         0
                                         |     15 |         0 |           0 |      15 |         0
                                         |     15 |         0 |           0 |      15 |         0
                                         |     15 |         0 |          30 |       0 |         0
                                         |     15 |         0 |          15 |       0 |         0
                                         |     30 |         0 |          15 |      15 |         0
                                         |     30 |         0 |           0 |      15 |         0
                                         |     15 |         0 |           0 |      15 |         0
                                         |     15 |         0 |           0 |      15 |         0
                                         |     15 |         0 |           0 |      15 |         0
                                         |     30 |         0 |          30 |       0 |         0
                                         |     15 |         0 |          30 |       0 |         0
                                         |     30 |         0 |          15 |       0 |         0
                                         |     15 |         0 |          15 |       0 |         0
                                         |      0 |         0 |           0 |      30 |         0
                                         |     15 |         0 |          30 |       0 |         0
                                         |     15 |         0 |           0 |      15 |         0
                                         |     15 |         0 |           0 |      15 |         0
                                         |      0 |         0 |           0 |      30 |         0
                                         |      0 |         0 |           0 |       0 |        15
                                         |     15 |         0 |          15 |       0 |         0
